Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
AchievementsUnlockedDescription/DefeatCrydra	Text	 [new]	Defeated Crydra the Ice Titan	Crydra, den Eistitanen bezwungen	氷の巨竜クライドラを倒した	얼음 거인 크리드라를 물리쳤습니다	Has derrotado a Crioídra, el Titán de Hielo	击败了寒冰泰坦冰德拉	กำจัดไครดรา ยักษ์น้ำแข็งแล้ว
AchievementsUnlockedDescription/DefeatDruidra	Text	 [new]	Defeated Druidra the Wild Titan	Druidra, den Wildtitanen bezwungen	森の巨竜ドルイドラを倒した	야생 거인 드루이드라를 물리쳤습니다	Has derrotado a Druidra, el Titán Salvaje	击败了荒野泰坦林德拉	กำจัดดรูอิดรา ยักษ์พงไพรแล้ว
AchievementsUnlockedDescription/DefeatGhorm	Text	 [new]	Defeated Ghorm the Devourer	Ghorm den Verschlinger, besiegt	大喰らいのゴームを倒した	포식자 고름을 물리쳤습니다	Has derrotado a Ghorm, el Devorador	击败了吞噬者戈尔姆	กำจัดกอร์มจอมเขมือบแล้ว
AchievementsUnlockedDescription/DefeatGlurch	Text	 [new]	Defeated Glurch the Abominous Mass	Glurch die Abscheuliche Masse, besiegt	奇怪生命体グラーチを倒した	혐오스러운 덩어리 글러치를 물리쳤습니다	Has derrotado a Glurch, la Masa Abominable	击败了恶形巨物戈勒蚩	กำจัดเกลิร์ช ก้อนเนื้อปิศาจแล้ว
AchievementsUnlockedDescription/DefeatHivemother	Text	 [new]	Defeated The Hive Mother	Nestmutter, besiegt	ハイヴマザーを倒した	군집의 어머니를 물리쳤습니다	Has derrotado a la Madre de la Colmena	击败了虫巢之母	กำจัดรวงผึ้งมารดาแล้ว
AchievementsUnlockedDescription/DefeatIgneous	Text	 [new]	Defeated Igneous the Molten Mass	Igneous die Geschmolzene Masse, besiegt	溶岩の塊イグニアスを倒した	녹아내린 덩어리 이그니우스를 물리쳤습니다	Has derrotado a Igneous, la Masa Fundida	击败了熔融巨物伊格尼欧斯	กำจัดอัคนีอุส สไลม์หลอมเหลวแล้ว
AchievementsUnlockedDescription/DefeatIvy	Text	 [new]	Defeated Ivy the Poisonous Mass	Ivy die Giftige Masse, besiegt	猛毒生命体アイヴィーを倒した	유독성 덩어리 덩굴을 물리쳤습니다	Has derrotado a Ivy, la Masa Venenosa	击败了带毒巨物艾薇	กำจัดไอวี่ สไลม์พิษแล้ว
AchievementsUnlockedDescription/DefeatKingSlime	Text	 [new]	Defeated King Slime	Schleimkönig, besiegt	キングスライムを倒した	대왕 슬라임을 물리쳤습니다	Has derrotado al Rey Baba	击败了史莱姆王	กำจัดคิงสไลม์แล้ว
AchievementsUnlockedDescription/DefeatMalugaz	Text	 [new]	Defeated Malugaz the Corrupted	Malugaz der Korrupte, besiegt	頽廃の王マルガズを倒した	타락한 말루가즈를 물리쳤습니다	Has derrotado a Malugaz, el Corrupto	击败了堕落者玛鲁格兹	กำจัดมาลูเกซ ผู้แปดเปื้อนแล้ว
AchievementsUnlockedDescription/DefeatMorpha	Text	 [new]	Defeated Morpha the Aquatic Mass	Morpha die Aquatische Masse, besiegt	水棲生命体モルファを倒した	축축한 덩어리 모르파를 물리쳤습니다	Has derrotado a Morpha, la Masa Acuática	击败了水栖巨物摩尔法	กำจัดมอร์ฟา สไลม์ใต้สมุทรแล้ว
AchievementsUnlockedDescription/DefeatNimruza	Text	 [new]	Defeated Nimruza, Queen of the Burrowed Sands	Nimruza, Königin der Verborgenen Sande, bezwungen	砂潜りの女王ニムルザを倒した	파묻힌 모래의 여왕 님루자를 물리쳤습니다	Has derrotado a Nimruza, Reina de las Arenas Excavadas	击败了潜沙女王尼姆鲁扎	กำจัดนิมรูซา ราชินีแห่งโพรงทราย
AchievementsUnlockedDescription/DefeatOmoroth	Text	 [new]	Defeated Omoroth the Sea Titan	Omoroth der Meerestitan, besiegt	海の巨獣オモロスを倒した	바다 거인 오모로스를 물리쳤습니다	Has derrotado a Omoroth, el Titán de los Mares	击败了海洋泰坦欧墨若斯	กำจัดโอโมรอธ ยักษ์แห่งท้องทะเลแล้ว
AchievementsUnlockedDescription/DefeatPyrdra	Text	 [new]	Defeated Pyrdra the Fire Titan	Pyrdra, den Feuertitanen bezwungen	炎の巨竜ファイドラを倒した	화염 거인 파이드라를 물리쳤습니다	Has derrotado a Piroídra, el Titán de Fuego	击败了火焰泰坦炎德拉	กำจัดไพร์ดรา ยักษ์เพลิงแล้ว
AchievementsUnlockedDescription/DefeatRaAkar	Text	 [new]	Defeated Ra-Akar the Sand Titan	Ra-Akar der Sandtitan, besiegt	砂の巨獣ラ・アカールを倒した	모래 거인 라-아카르를 물리쳤습니다	Has derrotado a Ra-Akar, el Titán de Arena	击败了黄沙泰坦拉阿卡尔	กำจัดรา-อะคาร์ ยักษ์ทะเลทรายแล้ว
AchievementsUnlockedDescription/DefeatUrschleim	Text	 [new]	Defeated Urschleim	Urschleim bezwungen	ウルシュライムを倒した	태초슬라임을 물리쳤습니다	Has derrotado a Urschleim	击败了原始史莱姆	กำจัดอูร์ชไลม์แล้ว
AchievementsUnlockedDescription/Discover100CookBookRecipes	Text	 [new]	Discovered 100 recipes in the cook book	100 Rezepte wurden im Kochbuch entdeckt	料理本で100レシピ発見した	요리책에서 레시피 100개를 찾아냈습니다	Has descubierto 100 recetas en el libro de cocina	发现了烹饪书中的 100 种菜谱	ค้นพบสูตรอาหาร 100 สูตรในหนังสือทำอาหารแล้ว
AchievementsUnlockedDescription/EquipRingOfRockAndStone	Text	 [new]	Equipped the Ring of Rock and Ring of Stone	Ring der Felsen und Ring der Steine ausgerüstet	岩のリングと石のリングを装備した	암석 반지와 돌 반지를 장착했습니다	Has equipado el anillo de roca y el anillo de piedra	装备了岩石戒指和石头戒指	ติดตั้งหินวงแหวนและแหวนหินแล้ว
AchievementsUnlockedDescription/FeedCattle	Text	 [new]	Fed cattle	Ein Nutztier gefüttert	畜産動物にエサを与えた	가축에게 먹이를 줬습니다	Has dado de comer al ganado	饲喂了家畜	ให้อาหารปศุสัตว์แล้ว
AchievementsUnlockedDescription/FirstPet	Text	 [new]	Hatched your first pet from an egg	Dein erstes Haustier aus einem Ei ausgebrütet	初めてのペットを孵化させた	알에서 첫 애완동물을 부화시켰습니다	Has hecho eclosionar tu primera mascota de un huevo	第一次用宠物蛋孵化出了宠物	ฟักไข่สัตว์เลี้ยงตัวแรกแล้ว
AchievementsUnlockedDescription/GainOver200MovementSpeed	Text	 [new]	Gained over 200% movement speed	200 % Bewegungsgeschwindigkeit wurden erhalten	移動スピードを200%以上上昇させた	이동 속도 200% 이상을 획득했습니다	Has conseguido una velocidad de movimiento de más del 200 %	获得了超过 200% 的移动速度	รับความเร็วเคลื่อนที่มากกว่า 200% แล้ว
AchievementsUnlockedDescription/HarvestGoldenIngredient	Text	 [new]	Harvested a golden plant	Goldene Pflanze geerntet	金色の植物を収穫した	금색 식물을 수확했습니다	Has cosechado una planta dorada	收割了一株金色植物	เก็บเกี่ยวพืชสีทองแล้ว
AchievementsUnlockedDescription/KeyArtCharacter	Text	 [new]	Dressed like a character from the official illustrations	Wie eine Figur aus den offiziellen Illustrationen gekleidet	公式イラストに登場するキャラクターになりきった	공식 일러스트의 캐릭터처럼 옷을 입었습니다	Te has vestido como un personaje de ilustraciones oficiales	已打扮得像官方插图里的角色	แต่งตัวแบบตัวละครจากภาพประกอบอย่างเป็นทางการ
AchievementsUnlockedDescription/MaxedOutCooking	Text	 [new]	Gained 100 skill points in cooking	100 Fertigkeitspunkte für Kochen erhalten	調理で100スキルポイント獲得した	요리에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en cocina	获得了 100 点烹饪技能点数	รับแต้มสกิลการปรุงอาหาร 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutCrafting	Text	 [new]	Gained 100 skill points in crafting	100 Fertigkeitspunkte für Fertigung erhalten	製作で100スキルポイント獲得した	제작에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en fabricación	获得了 100 点制作技能点数	รับแต้มสกิลการประดิษฐ์ 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutExplosives	Text	 [new]	Gained 100 skill points in explosives	100 Fertigkeitspunkte für Sprengstoff wurden erhalten	爆発物で100スキルポイント獲得した	폭발물에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en explosivos	获得了 100 点炸药技能点数	มีแต้มสกิลระเบิด 100 แต้ม
AchievementsUnlockedDescription/MaxedOutFishing	Text	 [new]	Gained 100 skill points in fishing	100 Fertigkeitspunkte für Angeln erhalten	釣りで100スキルポイント獲得した	낚시에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en pesca	获得了 100 点钓鱼技能点数	รับแต้มสกิลการตกปลา 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutGardening	Text	 [new]	Gained 100 skill points in gardening	100 Fertigkeitspunkte für Gärtnern erhalten	ガーデニングで100スキルポイント獲得した	원예에서 스킬 포인트 100을 얻얻었습니다	Has conseguido 100 puntos de habilidad en jardinería	获得了 100 点园艺技能点数	รับแต้มสกิลการทำสวน 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutMagic	Text	 [new]	Gained 100 skill points in magic	100 Fertigkeitspunkte der Magie erhalten	魔法で100スキルポイント獲得した	마법에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en magia	获得了 100 点魔法技能点数	มีแต้มสกิลเวท 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutMelee	Text	 [new]	Gained 100 skill points in melee	100 Fertigkeitspunkte für Nahkampf erhalten	近接で100スキルポイント獲得した	근접에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en combate cuerpo a cuerpo	获得了 100 点近战技能点数	รับแต้มสกิลการทำเหมือง 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutMining	Text	 [new]	Gained 100 skill points in mining	100 Fertigkeitspunkte für Bergbau erhalten	採掘で100スキルポイント獲得した	채굴에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en minería	获得了 100 点挖掘技能点数	รับแต้มสกิลการขุด 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutRange	Text	 [new]	Gained 100 skill points in range	100 Fertigkeitspunkte für Fernkampf erhalten	遠距離で100スキルポイント獲得した	원거리에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en combate a distancia	获得了 100 点远程技能点数	รับแต้มสกิลระยะไกล 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutRunning	Text	 [new]	Gained 100 skill points in running	100 Fertigkeitspunkte für Laufen erhalten	ダッシュで100スキルポイント獲得した	달리기에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en carrera	获得了 100 点奔跑技能点数	รับแต้มสกิลวิ่ง 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutSummoning	Text	 [new]	Gained 100 skill points in summoning	100 Fertigkeitspunkte der Beschwörung erhalten	召喚で100スキルポイント獲得した	소환에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en invocación	获得了 100 点召唤技能点数	มีแต้มสกิลอัญเชิญ 100 แต้มแล้ว
AchievementsUnlockedDescription/MaxedOutVitality	Text	 [new]	Gained 100 skill points in vitality	100 Fertigkeitspunkte für Vitalität erhalten	活力で100スキルポイント獲得した	활력에서 스킬 포인트 100을 얻었습니다	Has conseguido 100 puntos de habilidad en vitalidad	获得了 100 点活力技能点数	รับแต้มสกิลกำลังกาย 100 แต้มแล้ว
AchievementsUnlockedDescription/ObtainPhantomSpark	Text	 [new]	Obtained Phantom Spark	Phantomfunken wurde erhalten	ファントムスパークを入手した	유령의 불꽃을 획득했습니다	Has conseguido Chispa fantasma	得到了幻影星火	ได้รับแฟนธอมสปาร์กแล้ว
AchievementsUnlockedDescription/ObtainRuneSong	Text	 [new]	Obtained Rune Song	Runenlied wurde erhalten	ルーンソングを入手した	룬의 노래를 획득했습니다	Has conseguido Canto rúnico	得到了符文之歌	ได้รับบทเพลงแห่งรูนแล้ว
AchievementsUnlockedDescription/ObtainSoulSeeker	Text	 [new]	Obtained Soul Seeker	Seelensucher wurde erhalten	ソウルシーカーを入手した	영혼 추격자를 획득했습니다	Has conseguido Buscador de almas	得到了追魂镐	ได้รับอีเต้อล่าวิญญาณแล้ว
AchievementsUnlockedDescription/ObtainStormbringer	Text	 [new]	Obtained Stormbringer	Sturmbringer wurde erhalten	ストームブリンガーを入手した	스톰브링어를 획득했습니다	Has conseguido Portatormentas	得到了闪电冲击枪	ได้รับสตอร์มบริงเกอร์
AchievementsUnlockedDescription/ObtainTheOracleDeck	Text	 [new]	Obtained the Oracle Card deck	Orakel-Deck wurde erhalten	オラクルカードデッキを入手した	신탁 카드 덱을 획득했습니다	Has conseguido el mazo de cartas de oráculo	得到了神谕卡组	ได้รับสำรับการ์ดออราเคิลแล้ว
